,iteration,smart_agent,strategy,agent,money
368,30,retail,Dumb,Factory,-637.5646046492212
369,30,retail,Dumber,Retail,-5812.3128250459
370,30,retail,Dumber,Wholesale,-5926.403569935496
371,30,retail,Dumber,Regional Warehouse,-5768.4360496935515
372,30,retail,Dumber,Factory,-5812.3128250459
373,31,retail,Smart,Retail,1232.4982959432205
374,31,retail,Smart,Wholesale,4516.624917750221
375,31,retail,Smart,Regional Warehouse,7199.2713624560565
376,31,retail,Smart,Factory,1232.4982959432205
377,31,retail,Dumb,Retail,-62.560557736336136
378,31,retail,Dumb,Wholesale,1225.555469234293
379,31,retail,Dumb,Regional Warehouse,2403.7401771164673
380,31,retail,Dumb,Factory,-62.560557736336136
381,31,retail,Dumber,Retail,-1595.4842177273938
382,31,retail,Dumber,Wholesale,1371.736308690718
383,31,retail,Dumber,Regional Warehouse,2569.911510866009
384,31,retail,Dumber,Factory,-1595.4842177273938
385,32,retail,Smart,Retail,5713.605006281344
386,32,retail,Smart,Wholesale,2259.3351703630738
387,32,retail,Smart,Regional Warehouse,4460.971587090866
388,32,retail,Smart,Factory,5713.605006281344
389,32,retail,Dumb,Retail,1653.952622560792
390,32,retail,Dumb,Wholesale,-7448.577781691775
391,32,retail,Dumb,Regional Warehouse,-6819.63551773685
392,32,retail,Dumb,Factory,1653.952622560792
393,32,retail,Dumber,Retail,-6016.08755580684
394,32,retail,Dumber,Wholesale,-7268.14045492722
395,32,retail,Dumber,Regional Warehouse,-6649.825503153796
396,32,retail,Dumber,Factory,-6016.08755580684
397,33,retail,Smart,Retail,3243.273093402026
398,33,retail,Smart,Wholesale,12264.862606952654
399,33,retail,Smart,Regional Warehouse,5985.381769837746
400,33,retail,Smart,Factory,3243.273093402026
401,33,retail,Dumb,Retail,382.6942538223543
402,33,retail,Dumb,Wholesale,1781.0787404045282
403,33,retail,Dumb,Regional Warehouse,-2941.420257605871
404,33,retail,Dumb,Factory,382.6942538223543
405,33,retail,Dumber,Retail,-5193.009808084396
406,33,retail,Dumber,Wholesale,2136.870514029768
