,iteracion,agente,estrategia,desempeño
966,30,Fábrica,Solo este agente aprendió,1.0804915265677577
967,30,Fábrica,Todos aprendieron,1.4960588138303166
972,30,Almacén Regional,Nadie aprendió,0.0
973,30,Almacén Regional,Solo otro agente aprendió,0.2534964550274555
974,30,Almacén Regional,Solo este agente aprendió,0.681721677051505
975,30,Almacén Regional,Todos aprendieron,3.4502617592000577
980,30,Menudeo,Nadie aprendió,0.0
981,30,Menudeo,Solo otro agente aprendió,1.0870110673927809
982,30,Menudeo,Solo este agente aprendió,0.966468494931086
983,30,Menudeo,Todos aprendieron,1.4960588138303166
988,30,Mayoreo,Nadie aprendió,0.0
989,30,Mayoreo,Solo otro agente aprendió,0.4236154520316058
990,30,Mayoreo,Solo este agente aprendió,0.554666312069908
991,30,Mayoreo,Todos aprendieron,1.1527677136156678
996,31,Fábrica,Nadie aprendió,0.0
997,31,Fábrica,Solo otro agente aprendió,1.6783714522268538
998,31,Fábrica,Solo este agente aprendió,1.0470548427817001
999,31,Fábrica,Todos aprendieron,3.0537453897149605
1004,31,Almacén Regional,Nadie aprendió,0.0
1005,31,Almacén Regional,Solo otro agente aprendió,0.6224766282696302
1006,31,Almacén Regional,Solo este agente aprendió,0.3275318809866936
1007,31,Almacén Regional,Todos aprendieron,2.8414044162810423
1012,31,Menudeo,Nadie aprendió,0.0
1013,31,Menudeo,Solo otro agente aprendió,1.7324513981729752
1014,31,Menudeo,Solo este agente aprendió,0.9929748968355787
1015,31,Menudeo,Todos aprendieron,3.0537453897149605
1020,31,Mayoreo,Nadie aprendió,0.0
1021,31,Mayoreo,Solo otro agente aprendió,-0.5694206577797633
1022,31,Mayoreo,Solo este agente aprendió,1.3811259197950856
1028,32,Fábrica,Nadie aprendió,0.0
1030,32,Fábrica,Solo este agente aprendió,0.8754488585096655
1036,32,Almacén Regional,Nadie aprendió,0.0
1037,32,Almacén Regional,Solo otro agente aprendió,-0.1497969896434946
1038,32,Almacén Regional,Solo este agente aprendió,-0.9359798151875868
1039,32,Almacén Regional,Todos aprendieron,2.586212265402704
1044,32,Menudeo,Nadie aprendió,0.0
1046,32,Menudeo,Solo este agente aprendió,0.03966581105945318
1052,32,Mayoreo,Nadie aprendió,0.0
1053,32,Mayoreo,Solo otro agente aprendió,0.22111427843737247
1054,32,Mayoreo,Solo este agente aprendió,0.6917393896133142
1055,32,Mayoreo,Todos aprendieron,2.7487376218919306
1060,33,Fábrica,Nadie aprendió,0.0
1061,33,Fábrica,Solo otro agente aprendió,0.9279685048033041
1062,33,Fábrica,Solo este agente aprendió,1.1765427269238664
1063,33,Fábrica,Todos aprendieron,1.620040889524661
1068,33,Almacén Regional,Nadie aprendió,0.0
1069,33,Almacén Regional,Solo otro agente aprendió,0.4331479892004471
1070,33,Almacén Regional,Solo este agente aprendió,0.5150593031501374
1071,33,Almacén Regional,Todos aprendieron,2.732399557367283
1076,33,Menudeo,Nadie aprendió,0.0
1077,33,Menudeo,Solo otro agente aprendió,1.084995588421397
1078,33,Menudeo,Solo este agente aprendió,1.0195156433057733
