,agent,day,inventory,purchase,r_s_a,q_s_a
383,Regional_Warehouse,96,0.0,23,-120.0,-120.0
384,Factory,96,0.0,5,-34.0,-34.0
385,Retail,97,0.0,37,-16.299999999999983,-16.299999999999983
386,Wholesale,97,0.0,79,-116.0,-116.0
387,Regional_Warehouse,97,0.0,24,-112.0,-112.0
388,Factory,97,0.0,94,-192.0,-192.0
389,Retail,98,0.0,56,-11.900000000000006,-11.900000000000006
390,Wholesale,98,0.0,37,-40.0,-40.0
391,Regional_Warehouse,98,0.0,43,-2.0,-2.0
392,Factory,98,0.0,46,-54.0,-54.0
393,Retail,99,0.0,35,-10.0,-10.0
394,Wholesale,99,0.0,21,-166.0,-166.0
395,Regional_Warehouse,99,0.0,65,-162.0,-162.0
396,Factory,99,0.0,38,-130.0,-130.0
397,Retail,100,0.0,6,-11.5,-11.5
398,Wholesale,100,0.0,17,-150.0,-150.0
399,Regional_Warehouse,100,0.0,91,-84.0,-84.0
400,Factory,100,0.0,51,-110.0,-110.0
401,Retail,101,0.0,8,-11.099999999999994,-11.099999999999994
402,Wholesale,101,0.0,44,-178.0,-178.0
403,Regional_Warehouse,101,0.0,46,-44.0,-44.0
404,Factory,101,0.0,58,-102.0,-102.0
405,Retail,102,0.0,8,-12.599999999999994,-12.599999999999994
406,Wholesale,102,0.0,58,-110.0,-110.0
407,Regional_Warehouse,102,0.0,96,-14.0,-14.0
408,Factory,102,0.0,38,-52.0,-52.0
409,Retail,103,0.0,67,-14.799999999999997,-14.799999999999997
410,Wholesale,103,0.0,1,-38.0,-38.0
411,Regional_Warehouse,103,0.0,66,-144.0,-144.0
412,Factory,103,0.0,12,-10.0,-10.0
413,Retail,104,0.0,42,-16.299999999999997,-16.299999999999997
414,Wholesale,104,0.0,60,-124.0,-124.0
415,Regional_Warehouse,104,0.0,11,-188.0,-188.0
416,Factory,104,0.0,39,-102.0,-102.0
417,Retail,105,0.0,67,-11.899999999999999,-11.899999999999999
418,Wholesale,105,0.0,59,-14.0,-14.0
419,Regional_Warehouse,105,0.0,23,-76.0,-76.0
420,Factory,105,0.0,33,-170.0,-170.0
421,Retail,106,0.0,50,-10.0,-10.0
422,Wholesale,106,0.0,23,-76.0,-76.0
423,Regional_Warehouse,106,0.0,73,-66.0,-66.0
424,Factory,106,0.0,18,-42.0,-42.0
425,Retail,107,0.0,12,-11.5,-11.5
426,Wholesale,107,0.0,85,-120.0,-120.0
427,Regional_Warehouse,107,0.0,20,-150.0,-150.0
428,Factory,107,0.0,92,-168.0,-168.0
429,Retail,108,0.0,12,-11.100000000000001,-11.100000000000001
430,Wholesale,108,0.0,83,-110.0,-110.0
431,Regional_Warehouse,108,0.0,70,-160.0,-160.0
432,Factory,108,0.0,37,-38.0,-38.0
433,Retail,109,0.0,4,-12.6,-12.6
434,Wholesale,109,0.0,13,-186.0,-186.0
435,Regional_Warehouse,109,0.0,69,-48.0,-48.0
436,Factory,109,0.0,44,-86.0,-86.0
437,Retail,110,0.0,84,-14.8,-14.8
438,Wholesale,110,0.0,69,-38.0,-38.0
439,Regional_Warehouse,110,0.0,98,-68.0,-68.0
440,Factory,110,0.0,84,-86.0,-86.0
441,Retail,111,0.0,57,-16.299999999999997,-16.299999999999997
442,Wholesale,111,0.0,19,-16.0,-16.0
443,Regional_Warehouse,111,0.0,75,-150.0,-150.0
444,Factory,111,0.0,16,-190.0,-190.0
445,Retail,112,0.0,84,-11.899999999999999,-11.899999999999999
446,Wholesale,112,0.0,38,-12.0,-12.0
