,iteracion,agente,estrategia,desempeño
659,27,Almacén Regional,Todos óptima,0.3013447428232425
663,27,Menudeo,Nadie óptima,0.0
664,27,Menudeo,Un agente óptimo,0.03825191918092332
665,27,Menudeo,Todos óptima,0.7558618594812635
669,27,Mayoreo,Nadie óptima,0.0
670,27,Mayoreo,Un agente óptimo,0.035623631777453826
671,27,Mayoreo,Todos óptima,0.42687092944881727
675,28,Fábrica,Nadie óptima,0.0
676,28,Fábrica,Un agente óptimo,1.2337448708729373
677,28,Fábrica,Todos óptima,3.4899744455416677
681,28,Almacén Regional,Nadie óptima,0.0
682,28,Almacén Regional,Un agente óptimo,0.041135180092898904
683,28,Almacén Regional,Todos óptima,1.5514129839261337
687,28,Menudeo,Nadie óptima,0.0
688,28,Menudeo,Un agente óptimo,1.2337448708729373
689,28,Menudeo,Todos óptima,3.4899744455416677
693,28,Mayoreo,Nadie óptima,0.0
694,28,Mayoreo,Un agente óptimo,0.09954975220073754
695,28,Mayoreo,Todos óptima,1.6415029552074623
699,29,Fábrica,Nadie óptima,0.0
700,29,Fábrica,Un agente óptimo,0.5031510088270242
701,29,Fábrica,Todos óptima,0.18882753917958026
705,29,Almacén Regional,Nadie óptima,0.0
706,29,Almacén Regional,Un agente óptimo,0.028838115124362313
707,29,Almacén Regional,Todos óptima,0.4278535285240104
711,29,Menudeo,Nadie óptima,0.0
712,29,Menudeo,Un agente óptimo,0.5031510088270242
713,29,Menudeo,Todos óptima,0.18882753917958026
717,29,Mayoreo,Nadie óptima,0.0
718,29,Mayoreo,Un agente óptimo,0.044540797326927305
719,29,Mayoreo,Todos óptima,0.3404501785757988
723,30,Fábrica,Nadie óptima,0.0
724,30,Fábrica,Un agente óptimo,0.841181077804381
725,30,Fábrica,Todos óptima,1.1280236995745423
729,30,Almacén Regional,Nadie óptima,0.0
730,30,Almacén Regional,Un agente óptimo,0.15147628099092164
735,30,Menudeo,Nadie óptima,0.0
736,30,Menudeo,Un agente óptimo,0.841181077804381
737,30,Menudeo,Todos óptima,1.1280236995745423
741,30,Mayoreo,Nadie óptima,0.0
742,30,Mayoreo,Un agente óptimo,0.848318553553276
747,31,Fábrica,Nadie óptima,0.0
748,31,Fábrica,Un agente óptimo,3.65891378487348
753,31,Almacén Regional,Nadie óptima,0.0
754,31,Almacén Regional,Un agente óptimo,0.08589545735202785
755,31,Almacén Regional,Todos óptima,3.029790703734646
759,31,Menudeo,Nadie óptima,0.0
760,31,Menudeo,Un agente óptimo,3.65891378487348
765,31,Mayoreo,Nadie óptima,0.0
