,iteration,strategy,agent,money
348,28,Dumber,Factory,-3450.772743608878
349,29,Smart,Retail,3844.709961399413
350,29,Smart,Wholesale,1721.9680234635089
351,29,Smart,Regional Warehouse,578.0574893563733
352,29,Smart,Factory,3844.709961399413
353,29,Dumb,Retail,1201.3168547125479
354,29,Dumb,Wholesale,-4408.231664460108
355,29,Dumb,Regional Warehouse,-5588.07531505999
356,29,Dumb,Factory,1201.3168547125479
357,29,Dumber,Retail,-3450.772743608878
358,29,Dumber,Wholesale,-4270.069699296196
359,29,Dumber,Regional Warehouse,-5530.676087069574
360,29,Dumber,Factory,-3450.772743608878
361,30,Smart,Retail,3844.709961399413
362,30,Smart,Wholesale,1721.9680234635089
363,30,Smart,Regional Warehouse,578.0574893563733
364,30,Smart,Factory,3844.709961399413
365,30,Dumb,Retail,1201.3168547125479
366,30,Dumb,Wholesale,-4408.231664460108
367,30,Dumb,Regional Warehouse,-5588.07531505999
368,30,Dumb,Factory,1201.3168547125479
369,30,Dumber,Retail,-3450.772743608878
370,30,Dumber,Wholesale,-4270.069699296196
371,30,Dumber,Regional Warehouse,-5530.676087069574
372,30,Dumber,Factory,-3450.772743608878
373,31,Smart,Retail,3844.709961399413
374,31,Smart,Wholesale,1721.9680234635089
375,31,Smart,Regional Warehouse,578.0574893563733
376,31,Smart,Factory,3844.709961399413
377,31,Dumb,Retail,1201.3168547125479
378,31,Dumb,Wholesale,-4408.231664460108
379,31,Dumb,Regional Warehouse,-5588.07531505999
380,31,Dumb,Factory,1201.3168547125479
381,31,Dumber,Retail,-3450.772743608878
382,31,Dumber,Wholesale,-4270.069699296196
383,31,Dumber,Regional Warehouse,-5530.676087069574
384,31,Dumber,Factory,-3450.772743608878
385,32,Smart,Retail,3844.709961399413
386,32,Smart,Wholesale,1721.9680234635089
387,32,Smart,Regional Warehouse,578.0574893563733
388,32,Smart,Factory,3844.709961399413
389,32,Dumb,Retail,1201.3168547125479
390,32,Dumb,Wholesale,-4408.231664460108
391,32,Dumb,Regional Warehouse,-5588.07531505999
392,32,Dumb,Factory,1201.3168547125479
393,32,Dumber,Retail,-3450.772743608878
394,32,Dumber,Wholesale,-4270.069699296196
395,32,Dumber,Regional Warehouse,-5530.676087069574
396,32,Dumber,Factory,-3450.772743608878
397,33,Smart,Retail,3844.709961399413
398,33,Smart,Wholesale,1721.9680234635089
399,33,Smart,Regional Warehouse,578.0574893563733
400,33,Smart,Factory,3844.709961399413
401,33,Dumb,Retail,1201.3168547125479
402,33,Dumb,Wholesale,-4408.231664460108
403,33,Dumb,Regional Warehouse,-5588.07531505999
404,33,Dumb,Factory,1201.3168547125479
405,33,Dumber,Retail,-3450.772743608878
406,33,Dumber,Wholesale,-4270.069699296196
407,33,Dumber,Regional Warehouse,-5530.676087069574
408,33,Dumber,Factory,-3450.772743608878
409,34,Smart,Retail,3844.709961399413
410,34,Smart,Wholesale,1721.9680234635089
411,34,Smart,Regional Warehouse,578.0574893563733
412,34,Smart,Factory,3844.709961399413
413,34,Dumb,Retail,1201.3168547125479
414,34,Dumb,Wholesale,-4408.231664460108
415,34,Dumb,Regional Warehouse,-5588.07531505999
416,34,Dumb,Factory,1201.3168547125479
417,34,Dumber,Retail,-3450.772743608878
418,34,Dumber,Wholesale,-4270.069699296196
419,34,Dumber,Regional Warehouse,-5530.676087069574
420,34,Dumber,Factory,-3450.772743608878
421,35,Smart,Retail,3844.709961399413
422,35,Smart,Wholesale,1721.9680234635089
423,35,Smart,Regional Warehouse,578.0574893563733
424,35,Smart,Factory,3844.709961399413
425,35,Dumb,Retail,1201.3168547125479
426,35,Dumb,Wholesale,-4408.231664460108
427,35,Dumb,Regional Warehouse,-5588.07531505999
428,35,Dumb,Factory,1201.3168547125479
429,35,Dumber,Retail,-3450.772743608878
430,35,Dumber,Wholesale,-4270.069699296196
431,35,Dumber,Regional Warehouse,-5530.676087069574
432,35,Dumber,Factory,-3450.772743608878
433,36,Smart,Retail,3844.709961399413
434,36,Smart,Wholesale,1721.9680234635089
435,36,Smart,Regional Warehouse,578.0574893563733
436,36,Smart,Factory,3844.709961399413
437,36,Dumb,Retail,1201.3168547125479
438,36,Dumb,Wholesale,-4408.231664460108
439,36,Dumb,Regional Warehouse,-5588.07531505999
440,36,Dumb,Factory,1201.3168547125479
441,36,Dumber,Retail,-3450.772743608878
442,36,Dumber,Wholesale,-4270.069699296196
443,36,Dumber,Regional Warehouse,-5530.676087069574
444,36,Dumber,Factory,-3450.772743608878
445,37,Smart,Retail,3844.709961399413
446,37,Smart,Wholesale,1721.9680234635089
447,37,Smart,Regional Warehouse,578.0574893563733
448,37,Smart,Factory,3844.709961399413
449,37,Dumb,Retail,1201.3168547125479
450,37,Dumb,Wholesale,-4408.231664460108
451,37,Dumb,Regional Warehouse,-5588.07531505999
452,37,Dumb,Factory,1201.3168547125479
